Concurrency,Number,Connections,Errors, Message Send,Message Fail,Duration(ms)
20,websocket
20,websocket
20,websocket
20,websocket
20,websocket
20,websocket
20,websocket
20,websocket
20,websocket
40,websocket
40,websocket
40,websocket
40,websocket
40,websocket
40,websocket
40,websocket
40,websocket
40,websocket
60,websocket
60,websocket
60,websocket
60,websocket
60,websocket
60,websocket
60,websocket
60,websocket
60,websocket
80,websocket
80,websocket
80,websocket
80,websocket
80,websocket
80,websocket
80,websocket
80,websocket
80,websocket
